frame_id,tracking_id,BB_x1,BB_y1,BB_x2,BB_y2,long_dist,lat_dist,rel_long_vel,rel_lat_vel,abs_long_vel,abs_lat_vel,ttc,size_2d_width,size_2d_height,size_3d_width,size_3d_height,viewing_angle,azimuth_angle,left_angle,right_angle,side_angle,vcs_3d_bbox_x_1,vcs_3d_bbox_x_2,vcs_3d_bbox_x_3,vcs_3d_bbox_x_4,vcs_3d_bbox_x_5,vcs_3d_bbox_x_6,vcs_3d_bbox_x_7,vcs_3d_bbox_x_8,vcs_3d_bbox_y_1,vcs_3d_bbox_y_2,vcs_3d_bbox_y_3,vcs_3d_bbox_y_4,vcs_3d_bbox_y_5,vcs_3d_bbox_y_6,vcs_3d_bbox_y_7,vcs_3d_bbox_y_8,vcs_3d_bbox_z_1,vcs_3d_bbox_z_2,vcs_3d_bbox_z_3,vcs_3d_bbox_z_4,vcs_3d_bbox_z_5,vcs_3d_bbox_z_6,vcs_3d_bbox_z_7,vcs_3d_bbox_z_8,validity_dist,validity_size_2d,validity_size_3d,validity_rel_velacc,validity_abs_velacc,validity_ttc,de_state
0,1,913,569,1094,731,20.011,-0.508269,0,0,0,0,0,1.94321,1.73243,1.85,1.52,5.36155,1.38557,-1.29694,4.06461,0,20.0137,20.0084,20.0137,20.0084,24.5637,24.5584,24.5637,24.5584,0.416727,-1.43327,0.416727,-1.43327,0.403723,-1.44627,0.403723,-1.44627,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,2,1096,605,1158,649,73.9066,-6.79174,0,0,0,0,0,2.42673,1.68942,1.85,1.52,1.55088,5.17615,4.39987,5.95075,4.12387,73.9066,73.9065,73.9066,73.9065,78.4566,78.4565,78.4566,78.4565,-5.86674,-7.71674,-5.86674,-7.71674,-5.86695,-7.71695,-5.86695,-7.71695,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,3,1153,605,1190,631,112.928,-12.965,0,0,0,0,0,2.23761,1.52,1.85,1.52,0.868436,6.45605,6.0215,6.88993,5.80386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
0,4,1194,594,1236,635,154.078,-21.2611,0,0,0,0,0,1.95,3.26488,1.9,1.95,0.919165,7.7743,7.31425,8.23342,7.00682,154.078,154.078,154.078,154.078,159.233,159.233,159.233,159.233,-20.3111,-22.2111,-20.3111,-22.2111,-20.3112,-22.2112,-20.3112,-22.2112,1.95,1.95,0,0,1.95,1.95,0,0,1,1,1,0,0,0,4
0,5,157,568,299,657,32.5729,13.4194,0,0,0,0,0,0,0,1.85,1.52,1.97375,-21.4077,-22.3876,-20.4139,-18.7301,32.5721,32.5736,32.5721,32.5736,37.1221,37.1236,37.1221,37.1236,14.3444,12.4944,14.3444,12.4944,14.3481,12.4981,14.3481,12.4981,1.52,1.52,0,0,1.52,1.52,0,0,1,0,1,0,0,0,4
1,1,911,569.032,1093.07,735,19.9199,-0.45145,0,0,16.8348,-0.576708,0,1.93197,1.66664,1.85,1.52,5.39076,1.34141,-1.35562,4.03514,0,19.9417,19.8982,19.9417,19.8982,24.4904,24.4469,24.4904,24.4469,0.473295,-1.37619,0.473295,-1.37619,0.366285,-1.4832,0.366285,-1.4832,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,2,1096,603.975,1156,651,73.8825,-6.4031,0,0,16.6782,-1.97348,0,2.35546,1.72882,1.85,1.52,1.38576,4.81733,4.12383,5.50959,5.89194,73.9958,73.7692,73.9958,73.7692,78.5115,78.285,78.5115,78.285,-5.48506,-7.32114,-5.48506,-7.32114,-6.04229,-7.87837,-6.04229,-7.87837,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,3,1152.51,605,1190.9,630.33,113.059,-12.9113,0,0,16.5302,-2.99673,0,2.32456,1.52,1.85,1.52,0.901427,6.46591,6.01483,6.91626,5.78956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
1,4,1194.93,593.487,1236,636,154.475,-20.5297,0,0,16.3394,-4.06509,0,1.95,3.3903,1.9,1.95,0.905751,7.48932,7.03601,7.94176,8.23318,154.635,154.316,154.635,154.316,159.717,159.397,159.717,159.397,-19.5932,-21.4662,-19.5932,-21.4662,-20.4603,-22.3333,-20.4603,-22.3333,1.95,1.95,0,0,1.95,1.95,0,0,1,1,1,0,0,0,4
1,5,135,566.526,297.351,669.5,36.4529,13.6522,0,0,17.148,-0.903528,0,0,0,1.85,1.52,1.98197,-21.9493,-20.951,-22.933,-18.8072,31.8099,32.1642,31.8099,32.1642,36.2757,36.63,36.2757,36.63,13.6888,11.873,13.6888,11.873,14.5601,12.7444,14.5601,12.7444,1.52,1.52,0,0,1.52,1.52,0,0,1,0,1,0,0,0,4
