frame_id,obj_id,obj_type,obj_confidence,BB_x1,BB_y1,BB_x2,BB_y2,far_BB_x1,far_BB_x2,far_BB_x3,far_BB_x4,far_BB_y1,far_BB_y2,far_BB_y3,far_BB_y4,near_BB_x1,near_BB_x2,near_BB_x3,near_BB_x4,near_BB_y1,near_BB_y2,near_BB_y3,near_BB_y4,long_dist,lat_dist,dist_validity,rel_long_vel,rel_lat_vel,lane_assignment,lane_change,motion_status,motion_category,motion_orientation,cipv_id,cipv_tracked,cipv_lost,cinvl_id,cinvl_tracked,cinvr_id,cinvr_tracked,heading_angle,tracking_age,ttc,opi_headingAngle_status,cpp_ego_lane_confidence,cpp_ego_lane_view_range,cpp_ego_lane_coefficient_0,cpp_ego_lane_coefficient_1,cpp_ego_lane_coefficient_2,cpp_ego_lane_coefficient_3
0,1,7,0.99991,913,569,1094,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.826,-0.508269,2,0,0,0,0,0,0,0,-100,0,1,-100,0,-100,0,-0.00285807,1,0,-1,0,0,0,0,0,0
0,2,7,0.99991,1096,605,1158,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7216,-6.79174,2,0,0,0,0,0,0,0,-100,0,1,-100,0,-100,0,0,-1,0,-1,0,0,0,0,0,0
0,3,7,0.99971,1153,605,1190,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.743,-12.965,2,0,0,0,0,0,0,0,-100,0,1,-100,0,-100,0,0,-1,0,-1,0,0,0,0,0,0
0,4,10,0.999608,1194,594,1236,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.893,-21.2611,2,0,0,0,0,0,0,0,-100,0,1,-100,0,-100,0,0,-1,0,-1,0,0,0,0,0,0
0,5,7,0.993308,157,568,299,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3879,13.4194,2,0,0,0,0,0,0,0,-100,0,1,-100,0,-100,0,0,-1,0,-1,0,0,0,0,0,0
1,1,7,0.99991,911,569.032,1093.07,735,929.698,1074.91,1074.8,929.2,585.381,585.581,718.4,716.6,911.683,1093.07,1093,911,569.032,569.032,735,733,20.7349,-0.45145,2,0,0,0,0,1,0,0,-100,0,1,-100,0,-100,0,-0.0235208,2,0,1,0,0,0,0,0,0
1,2,7,0.99991,1096,603.975,1156,651,1121.48,1155.97,1156,1121.49,612.714,611.976,647,647.007,1096.02,1142.97,1143,1096,604.975,603.975,651,651,74.6975,-6.4031,2,0,0,0,0,0,0,0,-100,0,1,-100,0,-100,0,0,-1,0,-1,0,0,0,0,0,0
1,3,7,0.99981,1152.51,605,1190.9,630.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.874,-12.9113,2,0,0,0,0,0,0,0,-100,0,1,-100,0,-100,0,0,-1,0,-1,0,0,0,0,0,0
1,4,10,0.99961,1194.93,593.487,1236,636,1210.1,1235.91,1236,1210.17,599.818,598.985,634,634.833,1194.93,1225.9,1226,1195,593.987,593.487,635.5,636,155.29,-20.5297,2,0,0,0,0,0,0,0,-100,0,1,-100,0,-100,0,0,-1,0,-1,0,0,0,0,0,0
1,5,7,0.994707,135,566.526,297.351,669.5,233.956,297.351,296,232.526,578.549,577.002,657,657.005,137.046,215.417,213.5,135,568.022,566.526,669.5,669,37.2679,13.6522,2,0,0,0,0,0,0,0,-100,0,1,-100,0,-100,0,0,-1,0,-1,0,0,0,0,0,0
