frame_id,ocPitch,drv_color,drv_position,drv_type,drv_trackingId,drv_enable,drv_multiple,drv_roadBoundaryType,drv_vcs_start,drv_vcs_end,drv_vcs_predicted_start,drv_vcs_predicted_end,drv_lineWidthModel_C0,drv_lineWidthModel_C1,drv_segment_num,drv_segment_start,drv_segment_end,drv_segment_C0,drv_segment_C1,drv_segment_C2,drv_segment_C3,rb_color,rb_position,rb_type,rb_trackingID,rb_enable,rb_multiple,rb_roadBoundaryType,rb_vcs_start,rb_vcs_end,rb_vcs_predicted_start,rb_vcs_predicted_end,rb_lineWidthModel_C0,rb_lineWidthModel_C1,rb_segment_num,rb_segment_start,rb_segment_end,rb_segment_C0,rb_segment_C1,rb_segment_C2,rb_segment_C3,drv_lines_num,rb_lines_num,num_of_merged_point,merge_pos_lon,num_of_branch_point,branch_pos_lon,confidence
6,-0.038943,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10002,1,0,6,16.1106,39.838,17.1089,38.1861,0,0,1,17.1089,38.1861,9.23602,-0.0871692,-0.000256178,1.26336e-08,4,2,0,-1,0,-1,0
7,-0.0388888,2,2,2,4,1,1,1,13.8136,46.1577,13.0748,44.1585,0.183802,0.00787617,1,13.0748,44.1585,8.29338,-0.130581,0.000582113,1.433e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,0,-1,0,-1,0.05
7,-0.0388888,1,3,3,2,1,1,1,6.22592,33.2189,6.01457,32.0314,0.18835,0.00489735,1,6.01457,32.0314,3.00054,-0.0224944,-0.00138291,-2.31583e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,0,-1,0,-1,0.05
7,-0.0388888,1,4,3,1,1,1,1,5.12359,84.6498,5.99496,81.4069,0.275349,0.00574921,1,5.99496,81.4069,-0.588537,-0.0624948,-0.00070616,-1.32551e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,0,-1,0,-1,0.05
7,-0.0388888,1,5,2,3,1,1,1,7.67345,34.2174,7.97491,35.3123,0.186571,0.00605027,1,7.97491,35.3123,-3.79762,0.0181057,-0.000424183,8.87481e-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,0,-1,0,-1,0.05
7,-0.0388888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10001,1,0,6,13.8192,32.4612,14.3541,31.8254,0,0,1,14.3541,31.8254,-8.32827,0.170745,-0.00380968,1.49982e-06,4,2,0,-1,0,-1,0.0243
7,-0.0388888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10002,1,0,6,16.0573,39.4241,16.538,38.1898,0,0,1,16.538,38.1898,9.21842,-0.0898362,-0.000182954,-1.29941e-06,4,2,0,-1,0,-1,0.0243
8,-0.0388041,2,2,2,4,1,1,1,13.8835,45.5426,13.0757,44.1587,0.174054,0.00800638,1,13.0757,44.1587,8.18918,-0.125772,0.000480025,1.34474e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,0,-1,0,-1,0.05
8,-0.0388041,1,3,3,2,1,1,1,6.16033,32.9252,5.01257,31.0325,0.188277,0.00467213,1,5.01257,31.0325,3.02102,-0.0270076,-0.00130314,-2.0984e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,0,-1,0,-1,0.05
8,-0.0388041,1,4,3,1,1,1,1,5.12141,82.5168,4.99584,81.3935,0.284723,0.00540605,1,4.99584,81.3935,-0.623113,-0.0627267,-0.000707252,-1.32719e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,0,-1,0,-1,0.05
