frame_id,obj_id,obj_type,obj_confidence,BB_x1,BB_y1,BB_x2,BB_y2,far_BB_x1,far_BB_x2,far_BB_x3,far_BB_x4,far_BB_y1,far_BB_y2,far_BB_y3,far_BB_y4,near_BB_x1,near_BB_x2,near_BB_x3,near_BB_x4,near_BB_y1,near_BB_y2,near_BB_y3,near_BB_y4,long_dist,lat_dist,dist_validity,rel_long_vel,rel_lat_vel,lane_assignment,lane_change,motion_status,motion_category,motion_orientation,cipv_id,cipv_tracked,cipv_lost,cinvl_id,cinvl_tracked,cinvr_id,cinvr_tracked,heading_angle,tracking_age,ttc,opi_headingAngle_status,cpp_ego_lane_confidence,cpp_ego_lane_view_range,cpp_ego_lane_coefficient_0,cpp_ego_lane_coefficient_1,cpp_ego_lane_coefficient_2,cpp_ego_lane_coefficient_3
0,1,7,0.99591,745,596,826,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5876,4.35677,2,0,0,2,0,0,0,0,3,0,0,1,1,-100,0,8.27378e-05,0,1,-1,0,0,0,0,0,0
0,3,7,0.99591,899,584,1024,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8963,-0.0813823,2,0,0,1,0,0,0,0,3,0,0,1,1,-100,0,-9.99514e-05,0,1,-1,0,0,0,0,0,0
1,1,7,0.99591,744,595.974,824.424,667,752.423,816.348,816,752,603.071,603.071,659.9,659.9,744.541,824.424,824,744,595.974,595.974,667,667,47.4434,4.0607,2,0,0,2,0,1,0,0,3,0,0,1,1,-100,0,0.0888153,0,2,1,0,0,0,0,0,0
1,3,7,0.99591,900,581.991,1025.22,703,912.901,1012.7,1012.5,912.5,594.069,594.069,690.9,690.9,900.532,1025.22,1025,900,581.991,581.991,703,703,29.791,-0.0896566,2,0,0,1,0,1,0,0,3,0,0,1,1,-100,0,-0.00312683,0,2,1,0,0,0,0,0,0
2,1,7,0.99591,744.322,595.78,826.064,667.886,752.939,817.78,817.427,752.511,603.089,602.925,660.724,660.565,744.867,826.064,825.637,744.322,595.984,595.78,667.886,667.686,47.2887,4.12245,2,0,0,2,0,1,0,0,3,0,0,1,1,-100,0,0.08877,0,3,1,0,0,0,0,0,0
2,3,7,0.99751,900.614,582.225,1025.98,702.318,913.619,1013.34,1013.14,913.223,594.23,594.23,690.298,690.298,901.141,1025.98,1025.76,900.614,582.225,582.225,702.318,702.318,29.6887,-0.0988171,2,0,0,1,0,1,0,0,3,0,0,1,1,-100,0,-0.00315892,0,3,1,0,0,0,0,0,0
3,1,7,0.99591,744.035,596.375,826.639,668.685,752.673,818.344,817.991,752.245,603.745,603.521,661.484,661.265,744.581,826.639,826.211,744.035,596.655,596.375,668.685,668.411,47.0697,4.13216,2,0,0,2,0,1,0,9,3,0,0,1,1,-100,0,0.0887249,0,4,1,0,0,0,0,0,0
3,3,7,0.99591,900.964,582.778,1025.57,702.95,913.876,1013.04,1012.84,913.481,594.705,594.745,690.943,690.581,901.488,1025.57,1025.35,900.964,582.779,582.778,702.95,702.547,29.5501,-0.10188,2,0,0,1,0,1,0,9,3,0,0,1,1,-100,0,-0.00210595,0,4,1,0,0,0,0,0,0
4,1,7,0.99591,743.201,597.078,825.89,669.511,751.763,817.737,817.384,751.335,604.76,604.318,662.167,662.11,743.749,825.89,825.46,743.201,597.581,597.078,669.511,669.391,46.7953,4.1329,2,0,0,2,0,1,1,9,3,0,0,1,1,-100,0,0.0886991,0,5,1,0,0,0,0,0,0
4,3,7,0.99331,901.124,583.733,1025.55,703.189,913.93,1013.15,1012.95,913.537,595.462,595.517,691.335,690.837,901.644,1025.55,1025.34,901.124,583.734,583.733,703.189,702.635,29.3937,-0.103756,2,0,0,1,0,1,1,9,3,0,0,1,1,-100,0,-0.00157946,0,5,1,0,0,0,0,0,0
5,1,7,0.99751,741.868,598.035,825.18,671.54,750.61,816.937,816.577,750.175,605.797,605.29,664.094,663.937,742.425,825.18,824.743,741.868,598.625,598.035,671.54,671.297,46.4803,4.13062,2,0,0,2,0,1,1,9,3,0,0,1,1,-100,0,0.0886971,0,6,1,0,0,0,0,0,0
5,3,7,0.99331,900.975,585.172,1024.95,703.095,913.633,1012.72,1012.52,913.246,596.851,596.914,691.26,690.698,901.489,1024.95,1024.74,900.975,585.172,585.173,703.095,702.472,29.2485,-0.102112,2,0,0,1,0,1,1,9,3,0,0,1,1,-100,0,-0.00126357,0,6,1,0,0,0,0,0,0
6,1,7,0.99591,740.622,598.628,823.698,673.011,749.385,815.523,815.157,748.942,606.303,605.937,665.478,665.253,741.188,823.698,823.253,740.622,599.067,598.628,673.011,672.711,46.1444,4.13015,2,0,0,2,0,1,1,9,3,0,0,1,1,-100,0,0.0887237,0,7,1,0,0,0,0,0,0
6,3,7,0.99591,900.299,586.141,1024.75,703.5,913.156,1012.35,1012.15,912.77,597.745,597.81,691.714,691.129,900.812,1024.75,1024.53,900.299,586.141,586.143,703.5,702.851,29.1305,-0.0980514,2,0,0,1,0,1,1,9,3,0,0,1,1,-100,0,-0.00105297,0,7,1,0,0,0,0,0,0
7,1,7,0.99591,740.29,599.236,822.251,674.018,748.981,814.187,813.818,748.534,606.743,606.606,666.416,666.144,740.861,822.251,821.801,740.29,599.425,599.236,674.018,673.693,45.7821,4.12417,2,0,0,2,0,1,1,9,3,0,0,1,1,-100,0,0.0887731,0,8,1,0,0,0,0,0,0
7,3,7,0.99591,899.938,586.976,1023.69,704.554,912.788,1011.33,1011.13,912.4,598.508,598.932,692.839,692.207,900.452,1023.69,1023.47,899.938,586.976,587.374,704.554,703.896,29.0271,-0.0907674,2,0,0,1,0,1,1,9,3,0,0,1,1,-100,0,-0.000902548,0,8,1,0,0,0,0,0,0
8,1,7,0.99591,740.166,599.457,820.661,674.151,748.761,812.726,812.356,748.314,606.876,606.837,666.566,666.276,740.738,820.661,820.21,740.166,599.538,599.457,674.151,673.819,45.4162,4.11526,2,0,0,2,0,1,1,9,3,0,0,1,1,-100,0,0.0888411,0,9,1,0,0,0,0,0,0
8,3,7,0.99751,899.679,587.257,1023.1,705.834,912.331,1010.97,1010.77,911.939,598.861,599.424,694.044,693.397,900.198,1023.1,1022.88,899.679,587.257,587.81,705.834,705.177,28.9573,-0.0836462,2,0,0,1,0,1,1,9,3,0,0,1,1,-100,0,-0.00078973,0,9,1,0,0,0,0,0,0
9,1,7,0.99591,739.499,599.298,819.525,673.925,748.109,811.599,811.227,747.661,606.69,606.692,666.369,666.072,740.071,819.525,819.072,739.499,599.332,599.298,673.925,673.59,45.0732,4.10695,2,0,0,2,0,1,2,9,3,0,0,1,1,-100,0,0.0889254,0,10,1,0,0,0,0,0,0
9,3,7,0.99591,899.97,587.31,1022.26,705.912,912.471,1010.28,1010.08,912.078,599.031,599.615,694.066,693.765,900.49,1022.26,1022.04,899.97,587.31,587.928,705.912,705.647,28.9211,-0.0776517,2,0,0,1,0,1,1,9,3,0,0,1,1,-100,0,-0.000701982,0,10,1,0,0,0,0,0,0
10,1,7,0.99591,739.137,599.878,818.57,673.309,747.633,810.759,810.391,747.193,607.077,607.116,665.941,665.47,739.699,818.57,818.123,739.137,599.892,599.878,673.309,672.784,44.5798,4.0796,2,0,0,2,0,1,2,9,3,0,0,1,1,-100,0,0.0890218,0,11,1,0,0,0,0,0,0
