frame_id,tracking_id,BB_x1,BB_y1,BB_x2,BB_y2,long_dist,lat_dist,rel_long_vel,rel_lat_vel,abs_long_vel,abs_lat_vel,ttc,size_2d_width,size_2d_height,size_3d_width,size_3d_height,viewing_angle,azimuth_angle,left_angle,right_angle,side_angle,vcs_3d_bbox_x_1,vcs_3d_bbox_x_2,vcs_3d_bbox_x_3,vcs_3d_bbox_x_4,vcs_3d_bbox_x_5,vcs_3d_bbox_x_6,vcs_3d_bbox_x_7,vcs_3d_bbox_x_8,vcs_3d_bbox_y_1,vcs_3d_bbox_y_2,vcs_3d_bbox_y_3,vcs_3d_bbox_y_4,vcs_3d_bbox_y_5,vcs_3d_bbox_y_6,vcs_3d_bbox_y_7,vcs_3d_bbox_y_8,vcs_3d_bbox_z_1,vcs_3d_bbox_z_2,vcs_3d_bbox_z_3,vcs_3d_bbox_z_4,vcs_3d_bbox_z_5,vcs_3d_bbox_z_6,vcs_3d_bbox_z_7,vcs_3d_bbox_z_8,validity_dist,validity_size_2d,validity_size_3d,validity_rel_velacc,validity_abs_velacc,validity_ttc,de_state
0,1,745,596,826,666,46.7726,4.35677,0,0,0,0,0,1.96551,1.70845,1.85,1.52,2.03904,-5.22648,-6.24414,-4.2051,-3.86592,46.7725,46.7726,46.7725,46.7726,51.3225,51.3226,51.3225,51.3226,5.28177,3.43177,5.28177,3.43177,5.28215,3.43215,5.28215,3.43215,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,2,853,610,892,644,0,0,0,0,0,0,0,0,0,1.85,1.52,1.15277,-2.49454,-3.07061,-1.91784,-1.82771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0,3,899,584,1024,699,29.0813,-0.0813823,0,0,0,0,0,1.92486,1.76503,1.85,1.52,3.70427,0.140805,-1.71085,1.99342,0,29.0814,29.0812,29.0814,29.0812,33.6314,33.6312,33.6314,33.6312,0.843618,-1.00638,0.843618,-1.00638,0.843163,-1.00684,0.843163,-1.00684,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,4,878,610,919,653,0,0,0,0,0,0,0,0,0,1.85,1.52,1.21303,-1.72448,-2.33073,-1.1177,-1.06273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1,1,744,595.974,824.424,667,46.6284,4.0607,0,0,16.3829,-0.00615239,0,1.9485,1.66264,1.85,1.52,2.34798,-5.10262,-6.2742,-3.92622,0,46.5464,46.7104,46.5464,46.7104,51.0784,51.2425,51.0784,51.2425,4.98205,3.13934,4.98205,3.13934,5.38563,3.54292,5.38563,3.54292,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,2,852,607.978,891.17,645,0,0,0,0,15.8936,-0.0146625,0,0,0,1.85,1.52,1.1577,-2.52146,-3.09999,-1.94229,-1.85068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1,3,900,581.991,1025.22,703,28.976,-0.0896566,0,0,16.3868,-0.000987275,0,1.92502,1.7411,1.85,1.52,3.70434,0.170434,-1.68129,2.02305,0,28.9789,28.9731,28.9789,28.9731,33.5289,33.5231,33.5289,33.5231,0.835339,-1.01465,0.835339,-1.01465,0.821112,-1.02888,0.821112,-1.02888,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,4,877.389,610,919.787,653,0,0,0,0,16.3954,8.50801e-05,0,0,0,1.85,1.52,1.25457,-1.722,-2.349,-1.09443,-1.0389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2,1,744.322,595.78,826.064,667.886,46.4737,4.12245,0,0,16.1938,0.0444483,0,1.96637,1.65086,1.85,1.52,2.38679,-5.07387,-6.26479,-3.878,0,46.3917,46.5557,46.3917,46.5557,50.9239,51.0878,50.9239,51.0878,5.04381,3.20109,5.04381,3.20109,5.44698,3.60426,5.44698,3.60426,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
2,2,853.316,608.581,890.704,645.259,0,0,0,0,16.2073,-0.0584437,0,0,0,1.85,1.52,0.914263,-2.4187,-2.87564,-1.96138,-3.06156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2,3,900.614,582.225,1025.98,702.318,28.8737,-0.0988171,0,0,16.2626,-0.00858622,0,1.91637,1.74455,1.85,1.52,3.70865,0.190787,-1.66311,2.04554,0,28.8767,28.8708,28.8767,28.8708,33.4267,33.4208,33.4267,33.4208,0.826178,-1.02381,0.826178,-1.02381,0.811659,-1.03833,0.811659,-1.03833,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
2,4,877.293,610.485,919.374,653.232,0,0,0,0,16.6305,0.00851716,0,0,0,1.85,1.52,1.24514,-1.72947,-2.35177,-1.10662,-1.05087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
3,1,744.035,596.375,826.639,668.685,46.2547,4.13216,0,0,15.7653,0.0571423,0,1.97296,1.64048,1.85,1.52,2.41212,-5.06965,-6.27318,-3.86107,0,46.1729,46.3366,46.1729,46.3366,50.705,50.8688,50.705,50.8688,5.05353,3.21079,5.05353,3.21079,5.45629,3.61355,5.45629,3.61355,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
3,2,852.943,608.829,890.701,645.375,0,0,0,0,16.5052,0.00451931,0,0,0,1.85,1.52,0.903202,-2.41324,-2.86465,-1.96145,-3.07258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
3,3,900.964,582.778,1025.57,702.95,28.7351,-0.10188,0,0,16.0045,-0.0131753,0,1.88781,1.74646,1.85,1.52,3.68619,0.189907,-1.65277,2.03342,0,28.7381,28.7321,28.7381,28.7321,33.2881,33.2821,33.2881,33.2821,0.823116,-1.02687,0.823116,-1.02687,0.808348,-1.04164,0.808348,-1.04164,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
3,4,876.82,611.143,919.377,653.796,0,0,0,0,16.8349,0.0211452,0,0,0,1.85,1.52,1.25926,-1.7364,-2.36574,-1.10649,-1.05014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
4,1,743.201,597.078,825.89,669.511,45.9803,4.1329,0,0,15.1119,0.0547364,0,1.96447,1.63325,1.85,1.52,2.41434,-5.09292,-6.29755,-3.88321,0,45.8984,46.0622,45.8984,46.0622,50.4306,50.5943,50.4306,50.5943,5.05427,3.21153,5.05427,3.21153,5.45697,3.61423,5.45697,3.61423,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
4,2,852.32,609.335,890.115,646.003,0,0,0,0,15.975,0.0401645,0,0,0,1.85,1.52,0.88772,-2.42288,-2.86656,-1.97884,-3.09096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
4,3,901.124,583.733,1025.55,703.189,28.5787,-0.103756,0,0,15.6353,-0.0163509,0,1.87264,1.74875,1.85,1.52,3.68109,0.1921,-1.64802,2.03306,0,28.5818,28.5757,28.5818,28.5757,33.1317,33.1256,33.1317,33.1256,0.821239,-1.02875,0.821239,-1.02875,0.806217,-1.04377,0.806217,-1.04377,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
4,4,876.416,612.048,918.397,654.678,0,0,0,0,16.72,0.0473054,0,0,0,1.85,1.52,1.2422,-1.75692,-2.37775,-1.13554,-1.07846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
5,1,741.868,598.035,825.18,671.54,45.6653,4.13062,0,0,14.378,0.0460051,0,1.96269,1.62829,1.85,1.52,2.43215,-5.123,-6.33648,-3.90433,0,45.5834,45.7472,45.5834,45.7472,50.1155,50.2794,50.1155,50.2794,5.05198,3.20925,5.05198,3.20925,5.45499,3.61226,5.45499,3.61226,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
5,2,851.536,610.18,889.19,646.918,0,0,0,0,15.1252,0.0753495,0,0,0,1.85,1.52,0.877338,-2.44507,-2.88356,-2.00622,-3.1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
5,3,900.975,585.172,1024.95,703.095,28.4335,-0.102112,0,0,15.3064,-0.0115929,0,1.85719,1.74988,1.85,1.52,3.66767,0.180994,-1.65242,2.01526,0,28.4366,28.4304,28.4366,28.4304,32.9866,32.9804,32.9866,32.9804,0.822883,-1.02711,0.822883,-1.02711,0.807784,-1.04221,0.807784,-1.04221,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
5,4,874.696,612.638,921.805,656.522,0,0,0,0,16.1516,-0.139549,0,0,0,1.85,1.52,1.12305,-1.60241,-2.16372,-1.04067,-2.42986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
