frame_id,ocPitch,drv_color,drv_position,drv_type,drv_trackingId,drv_enable,drv_multiple,drv_roadBoundaryType,drv_vcs_start,drv_vcs_end,drv_vcs_predicted_start,drv_vcs_predicted_end,drv_lineWidthModel_C0,drv_lineWidthModel_C1,drv_segment_num,drv_segment_start,drv_segment_end,drv_segment_C0,drv_segment_C1,drv_segment_C2,drv_segment_C3,rb_color,rb_position,rb_type,rb_trackingID,rb_enable,rb_multiple,rb_roadBoundaryType,rb_vcs_start,rb_vcs_end,rb_vcs_predicted_start,rb_vcs_predicted_end,rb_lineWidthModel_C0,rb_lineWidthModel_C1,rb_segment_num,rb_segment_start,rb_segment_end,rb_segment_C0,rb_segment_C1,rb_segment_C2,rb_segment_C3,drv_lines_num,rb_lines_num,num_of_merged_point,merge_pos_lon,num_of_branch_point,branch_pos_lon,confidence
8,-0.0413624,1,3,2,1,1,1,1,7.83139,75.5732,5.99589,74.946,0.200009,0.00265207,1,5.99589,74.946,1.43964,-0.0100656,0.000309283,4.07653e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
8,-0.0413624,1,4,3,2,1,1,1,7.87994,46.421,6.00621,45.0457,0.198412,0.00460401,1,6.00621,45.0457,-2.07122,-0.0029056,0.000188785,-8.11192e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
8,-0.0413624,1,5,3,3,1,1,1,12.0628,15.9272,10.0279,14.0387,0.357262,-2.66254e-05,1,10.0279,14.0387,-5.79204,0.00874573,-0.000236872,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
8,-0.0413624,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10001,1,0,6,7.6599,54.2963,7.32732,52.9374,0,0,1,7.32732,52.9374,2.77216,-0.00865607,0.000220345,1.25669e-07,3,1,0,-1,0,-1,0.05
9,-0.0415409,1,3,2,1,1,1,1,7.82623,76.6856,4.99643,75.9441,0.200583,0.00257533,1,4.99643,75.9441,1.43314,-0.0098557,0.000308494,2.53977e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
9,-0.0415409,1,4,3,2,1,1,1,7.87469,46.7522,5.00539,45.0474,0.196251,0.00475363,1,5.00539,45.0474,-2.07553,-0.00312618,0.000190471,-8.64749e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
9,-0.0415409,1,5,3,3,1,1,1,12.0971,15.9732,9.02591,14.0399,0.359241,-0.000205988,1,9.02591,14.0399,-5.82724,0.0162848,-0.000645159,-2.817e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
9,-0.0415409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10001,1,0,6,7.65437,59.2757,6.4983,54.9333,0,0,1,6.4983,54.9333,2.76786,-0.00864654,0.000227088,1.05208e-07,3,1,0,-1,0,-1,0.05
10,-0.0416993,1,3,2,1,1,1,1,7.83183,77.5668,4.99623,76.9414,0.200531,0.00276504,1,4.99623,76.9414,1.43115,-0.00984495,0.000310159,-1.61321e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
10,-0.0416993,1,4,3,2,1,1,1,7.86345,46.4793,4.00463,45.0508,0.203875,0.00452568,1,4.00463,45.0508,-2.0789,-0.00335666,0.000192633,-1.23532e-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
