frame_id,tracking_id,BB_x1,BB_y1,BB_x2,BB_y2,long_dist,lat_dist,rel_long_vel,rel_lat_vel,abs_long_vel,abs_lat_vel,ttc,size_2d_width,size_2d_height,size_3d_width,size_3d_height,viewing_angle,azimuth_angle,left_angle,right_angle,side_angle,vcs_3d_bbox_x_1,vcs_3d_bbox_x_2,vcs_3d_bbox_x_3,vcs_3d_bbox_x_4,vcs_3d_bbox_x_5,vcs_3d_bbox_x_6,vcs_3d_bbox_x_7,vcs_3d_bbox_x_8,vcs_3d_bbox_y_1,vcs_3d_bbox_y_2,vcs_3d_bbox_y_3,vcs_3d_bbox_y_4,vcs_3d_bbox_y_5,vcs_3d_bbox_y_6,vcs_3d_bbox_y_7,vcs_3d_bbox_y_8,vcs_3d_bbox_z_1,vcs_3d_bbox_z_2,vcs_3d_bbox_z_3,vcs_3d_bbox_z_4,vcs_3d_bbox_z_5,vcs_3d_bbox_z_6,vcs_3d_bbox_z_7,vcs_3d_bbox_z_8,validity_dist,validity_size_2d,validity_size_3d,validity_rel_velacc,validity_abs_velacc,validity_ttc,de_state
0,1,945,620,972,642,131.401,-0.141681,0,0,0,0,0,1.8413,1.49328,1.85,1.52,0.800359,0.0525537,-0.347599,0.45276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
0,2,984,608,1049,667,55.104,-1.73305,0,0,0,0,0,1.88108,1.69426,1.85,1.52,1.92587,1.77163,0.80836,2.73423,0.746093,55.104,55.104,55.104,55.104,59.654,59.654,59.654,59.654,-0.808054,-2.65805,-0.808054,-2.65805,-0.808186,-2.65819,-0.808186,-2.65819,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,3,925,619,942,635,187.891,2.22443,0,0,0,0,0,1.64524,1.54982,1.85,1.52,0.503314,-0.688355,-0.939987,-0.436673,-0.42759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
0,4,1245,560,1582,797,12.3426,-3.41578,0,0,0,0,0,2.30144,1.60503,1.85,1.52,6.8677,14.5924,11.1069,17.9746,8.49041,12.3539,12.3313,12.3539,12.3313,16.9035,16.8809,16.9035,16.8809,-2.49085,-4.34071,-2.49085,-4.34071,-2.5464,-4.39626,-2.5464,-4.39626,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,5,1228,584,1247,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,945.284,620,972.983,642,131.209,-0.182795,0,0,24.8043,-0.00268081,0,1.88635,1.47062,1.85,1.52,0.821172,0.0712823,-0.339276,0.481896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
1,2,983,607.965,1053.07,666,54.8832,-1.7114,0,0,24.8018,-0.00330099,0,2.02425,1.61114,1.85,1.52,2.07411,1.81565,0.778196,2.85231,0,54.9127,54.8538,54.9127,54.8538,59.4604,59.4015,59.4604,59.4015,-0.786866,-2.63593,-0.786866,-2.63593,-0.931561,-2.78062,-0.931561,-2.78062,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,3,924.588,619,942.286,635.673,187.58,2.23701,0,0,24.7945,0.000819847,0,1.70957,1.54985,1.85,1.52,0.524309,-0.690195,-0.952322,-0.428013,-0.418741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
1,4,1249.47,557.111,1599,818.5,12.302,-3.51171,0,0,24.8165,-0.00953107,0,2.33131,1.6222,1.85,1.52,6.39985,15.2837,12.0365,18.4364,8.64024,12.3337,12.2702,12.3337,12.2702,16.881,16.8176,16.881,16.8176,-2.58725,-4.43617,-2.58725,-4.43617,-2.74329,-4.5922,-2.74329,-4.5922,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,5,1229.69,584,1249.38,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
