frame_id,tracking_id,BB_x1,BB_y1,BB_x2,BB_y2,long_dist,lat_dist,rel_long_vel,rel_lat_vel,abs_long_vel,abs_lat_vel,ttc,size_2d_width,size_2d_height,size_3d_width,size_3d_height,viewing_angle,azimuth_angle,left_angle,right_angle,side_angle,vcs_3d_bbox_x_1,vcs_3d_bbox_x_2,vcs_3d_bbox_x_3,vcs_3d_bbox_x_4,vcs_3d_bbox_x_5,vcs_3d_bbox_x_6,vcs_3d_bbox_x_7,vcs_3d_bbox_x_8,vcs_3d_bbox_y_1,vcs_3d_bbox_y_2,vcs_3d_bbox_y_3,vcs_3d_bbox_y_4,vcs_3d_bbox_y_5,vcs_3d_bbox_y_6,vcs_3d_bbox_y_7,vcs_3d_bbox_y_8,vcs_3d_bbox_z_1,vcs_3d_bbox_z_2,vcs_3d_bbox_z_3,vcs_3d_bbox_z_4,vcs_3d_bbox_z_5,vcs_3d_bbox_z_6,vcs_3d_bbox_z_7,vcs_3d_bbox_z_8,validity_dist,validity_size_2d,validity_size_3d,validity_rel_velacc,validity_abs_velacc,validity_ttc,de_state
3,4,876.483,610.568,924.577,653.569,0,0,0,0,14.0377,-0.032109,0,0,0,1.85,1.52,1.42347,-1.66493,-2.37632,-0.952846,-0.89841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
4,1,902.569,584.479,1024.3,698.681,28.9988,-0.0964464,0,0,15.6453,-0.0200241,0,1.85757,1.6912,1.85,1.52,3.60145,0.1951,-1.60523,1.99622,0,29.0014,28.9961,29.0014,28.9961,33.5514,33.5461,33.5514,33.5461,0.82855,-1.02144,0.82855,-1.02144,0.81535,-1.03464,0.81535,-1.03464,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
4,2,743.331,598.461,824.774,668.287,46.6418,4.20575,0,0,14.4648,0.0625141,0,1.9869,1.5663,1.85,1.52,2.37812,-5.10714,-6.29373,-3.91561,0,46.5601,46.7235,46.5601,46.7235,51.0923,51.2557,51.0923,51.2557,5.12713,3.28436,5.12713,3.28436,5.52906,3.68629,5.52906,3.68629,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
4,3,849.771,610.659,892.897,644.237,0,0,0,0,13.9173,0.100011,0,0,0,1.85,1.52,1.06336,-2.42795,-2.95937,-1.89601,-3.16622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
4,4,875.888,611.048,923.916,654.29,0,0,0,0,12.5116,-0.0198564,0,0,0,1.85,1.52,1.42146,-1.68421,-2.39459,-0.973125,-0.916997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
5,1,902.379,585.293,1024.36,699.358,28.8389,-0.0964512,0,0,15.2944,-0.0189256,0,1.85113,1.69374,1.85,1.52,3.60866,0.193071,-1.61086,1.9978,0,28.8416,28.8361,28.8416,28.8361,33.3916,33.3861,33.3916,33.3861,0.828545,-1.02145,0.828545,-1.02145,0.815019,-1.03497,0.815019,-1.03497,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
5,2,742.167,599.82,823.62,669.418,46.2435,4.20487,0,0,13.5844,0.0569354,0,1.97416,1.57153,1.85,1.52,2.37808,-5.14119,-6.32774,-3.94966,0,46.1616,46.3254,46.1616,46.3254,50.6938,50.8576,50.6938,50.8576,5.12624,3.2835,5.12624,3.2835,5.52904,3.6863,5.52904,3.6863,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
5,3,848.818,611.118,892.22,645.042,0,0,0,0,12.1652,0.119967,0,0,0,1.85,1.52,1.06772,-2.45021,-2.98381,-1.91609,-3.19435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
5,4,875.622,611.705,923.42,654.998,0,0,0,0,11.6449,-0.00463435,0,0,0,1.85,1.52,1.41472,-1.69548,-2.40249,-0.987769,-0.931047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
6,1,901.751,586.517,1023.86,700.319,28.6941,-0.0923375,0,0,15.014,-0.00828487,0,1.8499,1.69519,1.85,1.52,3.6125,0.176381,-1.62945,1.98305,0,28.6968,28.6913,28.6968,28.6913,33.2468,33.2413,33.2468,33.2413,0.832658,-1.01733,0.832658,-1.01733,0.819057,-1.03093,0.819057,-1.03093,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
