frame_id,tracking_id,BB_x1,BB_y1,BB_x2,BB_y2,long_dist,lat_dist,rel_long_vel,rel_lat_vel,abs_long_vel,abs_lat_vel,ttc,size_2d_width,size_2d_height,size_3d_width,size_3d_height,viewing_angle,azimuth_angle,left_angle,right_angle,side_angle,vcs_3d_bbox_x_1,vcs_3d_bbox_x_2,vcs_3d_bbox_x_3,vcs_3d_bbox_x_4,vcs_3d_bbox_x_5,vcs_3d_bbox_x_6,vcs_3d_bbox_x_7,vcs_3d_bbox_x_8,vcs_3d_bbox_y_1,vcs_3d_bbox_y_2,vcs_3d_bbox_y_3,vcs_3d_bbox_y_4,vcs_3d_bbox_y_5,vcs_3d_bbox_y_6,vcs_3d_bbox_y_7,vcs_3d_bbox_y_8,vcs_3d_bbox_z_1,vcs_3d_bbox_z_2,vcs_3d_bbox_z_3,vcs_3d_bbox_z_4,vcs_3d_bbox_z_5,vcs_3d_bbox_z_6,vcs_3d_bbox_z_7,vcs_3d_bbox_z_8,validity_dist,validity_size_2d,validity_size_3d,validity_rel_velacc,validity_abs_velacc,validity_ttc,de_state
0,1,1251,561,1588,799,12.1982,-3.42306,0,0,0,0,0,2.27622,1.59417,1.85,1.52,6.81813,14.7781,11.3174,18.1355,8.66443,12.2081,12.1883,12.2081,12.1883,16.7578,16.7381,16.7578,16.7381,-2.49812,-4.34801,-2.49812,-4.34801,-2.54669,-4.39659,-2.54669,-4.39659,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,2,983,610,1048,665,51.9191,-1.60446,0,0,0,0,0,1.77406,1.48943,1.85,1.52,1.92597,1.74188,0.778567,2.70454,0.718575,51.9192,51.9191,51.9192,51.9191,56.4692,56.4691,56.4692,56.4691,-0.679461,-2.52946,-0.679461,-2.52946,-0.679593,-2.52959,-0.679593,-2.52959,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,3,944,620,974,643,118.937,-0.15893,0,0,0,0,0,1.85329,1.41398,1.85,1.52,0.88932,0.0672817,-0.377346,0.511974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
0,4,923,620,943,635,196.529,2.37565,0,0,0,0,0,2.02353,1.51946,1.85,1.52,0.592784,-0.703385,-0.999743,-0.406959,-0.39704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
1,1,1254.57,561.062,1589.16,799.278,12.197,-3.42668,0,0,24.8213,-0.000235599,0,2.2582,1.59334,1.85,1.52,6.88436,14.7773,11.2825,18.1669,8.76818,12.2069,12.1871,12.2069,12.1871,16.7566,16.7368,16.7566,16.7368,-2.50173,-4.35162,-2.50173,-4.35162,-2.5503,-4.4002,-2.5503,-4.4002,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,2,983,607.964,1048.08,667,51.9751,-1.55551,0,0,24.8259,-0.00133002,0,1.78158,1.55427,1.85,1.52,1.92609,1.74157,0.778196,2.70429,0,52.0033,51.9469,52.0033,51.9469,56.5512,56.4948,56.5512,56.4948,-0.630944,-2.48008,-0.630944,-2.48008,-0.769767,-2.61891,-0.769767,-2.61891,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,3,944.28,620,973.582,643,119.099,-0.156385,0,0,24.8347,0.000165966,0,1.81272,1.4341,1.85,1.52,0.868555,0.0652716,-0.368976,0.499579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
1,4,923.28,620,942.582,635,196.529,2.39548,0,0,24.8214,0.00129279,0,1.95286,1.51946,1.85,1.52,0.57156,-0.705383,-0.991131,-0.419571,-0.409689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
2,1,1251.95,563.078,1588.74,813.002,12.2086,-3.69033,0,0,24.8326,-0.0116174,0,2.22113,1.62168,1.85,1.52,6.15179,15.128,12.0089,18.1607,8.71191,12.1169,12.3002,12.1169,12.3002,16.6445,16.8278,16.6445,16.8278,-2.76989,-4.61077,-2.76989,-4.61077,-2.31889,-4.15978,-2.31889,-4.15978,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
2,2,983.082,607.28,1048.62,667.237,51.9157,-1.59057,0,0,24.7626,-0.0301452,0,1.78661,1.58173,1.85,1.52,1.93979,1.75084,0.780613,2.72041,0,51.944,51.8875,51.944,51.8875,56.4919,56.4354,56.4919,56.4354,-0.666004,-2.51514,-0.666004,-2.51514,-0.804983,-2.65412,-0.804983,-2.65412,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
