frame_id,obj_id,obj_type,obj_confidence,BB_x1,BB_y1,BB_x2,BB_y2,far_BB_x1,far_BB_x2,far_BB_x3,far_BB_x4,far_BB_y1,far_BB_y2,far_BB_y3,far_BB_y4,near_BB_x1,near_BB_x2,near_BB_x3,near_BB_x4,near_BB_y1,near_BB_y2,near_BB_y3,near_BB_y4,long_dist,lat_dist,dist_validity,rel_long_vel,rel_lat_vel,lane_assignment,lane_change,motion_status,motion_category,motion_orientation,cipv_id,cipv_tracked,cipv_lost,cinvl_id,cinvl_tracked,cinvr_id,cinvr_tracked,heading_angle,tracking_age,ttc,opi_headingAngle_status,cpp_ego_lane_confidence,cpp_ego_lane_view_range,cpp_ego_lane_coefficient_0,cpp_ego_lane_coefficient_1,cpp_ego_lane_coefficient_2,cpp_ego_lane_coefficient_3
0,1,7,0.99751,1096,604,1157,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.4151,-6.56362,2,0,0,3,0,0,0,0,4,0,0,-100,0,1,1,-4.45535e-05,0,1,-1,0,0,0,0,0,0
0,2,0,0.997509,1195,594,1234,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.059,-22.9754,2,0,0,0,0,0,0,0,4,0,0,-100,0,1,1,-3.01739e-05,0,1,-1,0,0,0,0,0,0
0,3,7,0.99591,1152,604,1191,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.618,-12.0558,2,0,0,5,0,0,0,0,4,0,0,-100,0,1,1,-3.42429e-05,0,1,-1,0,0,0,0,0,0
0,4,7,0.98901,913,566,1094,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8736,-0.509706,2,0,0,1,0,0,0,0,4,0,0,-100,0,1,1,-0.00316842,0,1,-1,0,0,0,0,0,0
1,1,7,0.99751,1096.21,604.672,1157.21,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.4586,-6.55634,2,0,0,3,0,1,0,0,4,0,0,-100,0,1,1,-4.45535e-05,0,2,-1,0,0,0,0,0,0
1,2,0,0.997508,1193.93,591.988,1233,634,1203.22,1232.9,1233,1203.29,592.989,592.988,632,631.071,1193.93,1224.9,1225,1194,591.989,591.988,634,633,167.794,-21.9161,2,0,0,0,0,1,0,0,4,0,0,-100,0,1,1,-0.191365,0,2,1,0,0,0,0,0,0
1,3,7,0.99751,1152.21,604,1191.9,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.619,-12.0005,2,0,0,5,0,1,0,0,4,0,0,-100,0,1,1,-3.42429e-05,0,2,-1,0,0,0,0,0,0
1,4,7,0.99331,914,566.042,1094.07,731,932.493,1076.1,1076,932,582.489,582.489,714.5,714.5,914.677,1094.07,1094,914,566.042,566.042,731,731,20.8022,-0.471726,2,0,0,1,0,1,0,0,4,0,0,-100,0,1,1,-0.0245515,0,2,1,0,0,0,0,0,0
2,1,7,0.99751,1096.66,604.77,1157.41,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5231,-6.56813,2,0,0,3,0,1,0,0,4,0,0,-100,0,1,1,-4.45535e-05,0,3,-1,0,0,0,0,0,0
2,2,0,0.998408,1193.78,591.875,1232.51,634.543,1203.63,1232.41,1232.51,1203.7,592.963,592.785,633.013,631.716,1193.78,1223.78,1223.88,1193.85,591.974,591.875,634.543,633.443,167.656,-21.8869,2,0,0,0,0,1,0,0,4,0,0,-100,0,1,1,-0.192403,0,3,1,0,0,0,0,0,0
2,3,7,0.99591,1152.66,603.766,1192.2,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.603,-12.0082,2,0,0,5,0,1,0,0,4,0,0,-100,0,1,1,-3.42429e-05,0,3,-1,0,0,0,0,0,0
